method,regime,epsilon,leaf_accuracy,leaf_accuracy,macro_f1,macro_f1,path_accuracy,path_accuracy,wrong_parent_rate,wrong_parent_rate,nll,nll,ece,ece,wrong_branch_mass_mean,wrong_branch_mass_mean,catastrophic_wrong_branch,catastrophic_wrong_branch
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
geometric_shell,corrupted,0.0,0.5793700340522134,0.0017185635949218219,0.5731860616794779,0.002272972836948816,0.5793700340522134,0.0017185635949218219,0.1954313280363223,0.002141569368911987,1.5769416043208424,0.0027169773160199257,0.033791393533969885,0.0024881685864555168,0.26383307882333135,0.0012088000433440541,0.22088535754824062,0.001581088014256678
geometric_shell,corrupted,0.1,0.5790153234960272,0.0018322668686054314,0.5728518747318248,0.0025108134387256545,0.5790153234960272,0.0018322668686054314,0.1964103291713961,0.00221028923908323,1.5787792213511584,0.002659493407317251,0.0333677616683946,0.0028206124852143194,0.265668160911506,0.0010922906540486333,0.22226163450624284,0.0018849787536303155
geometric_shell,corrupted,0.2,0.5785896708286039,0.001915816491510911,0.5726530265245031,0.0024639481562442303,0.5785896708286039,0.001915816491510911,0.19774404086265604,0.0020099430220147027,1.5807088019781008,0.0026149179401797978,0.033001620377235044,0.0030475734992012693,0.26757283173897156,0.0009846011349186267,0.22375141884222471,0.001680128610322707
geometric_shell,corrupted,0.3,0.57827752553916,0.0019246693418071836,0.572457156832617,0.00241947713149101,0.57827752553916,0.0019246693418071836,0.19866628830874006,0.0020427824421782987,1.5827392461044372,0.0025889788678375627,0.03316228542769955,0.002507255063348414,0.2695528645667217,0.0008974596284958905,0.2254965947786606,0.002016609149503635
geometric_shell,corrupted,0.4,0.5776958002270147,0.0017949584761083044,0.5719406595684136,0.002082684559252708,0.5776958002270147,0.0017949584761083044,0.1999574347332576,0.0020863896815076807,1.5848805988018184,0.0025891586917548186,0.033319669499789,0.0023235604781148863,0.2716147057324815,0.0008492622302021492,0.22674517593643584,0.0021903644112401697
hard_map,corrupted,0.0,0.528688989784336,0.002021870913462045,0.5215545108739607,0.003416822927278464,0.528688989784336,0.002021870913462045,0.23229284903518727,0.0020796783397272253,7.208552598953247,0.05983580908526212,0.12723789305408206,0.001625695806011299,0.23229285224798585,0.00207967861258212,0.23229284903518727,0.0020796783397272253
hard_map,corrupted,0.1,0.5246452894438138,0.002388314170906456,0.517579933248925,0.0033269190496764997,0.5246452894438138,0.002388314170906456,0.23845062429057884,0.002304569403381162,7.371735620498657,0.06608674814712467,0.13032916952442547,0.0016834112087365128,0.23845062747969797,0.0023045696301250904,0.23845062429057884,0.002304569403381162
hard_map,corrupted,0.2,0.5169977298524404,0.0027175345719939723,0.5100329130237381,0.003460204164109534,0.5169977298524404,0.0027175345719939723,0.24953178206583426,0.0024493470946828403,7.666564702987671,0.06936852083191922,0.13605147020227434,0.0018230315288096431,0.2495317852245083,0.0024493471881156846,0.24953178206583426,0.0024493470946828403
hard_map,corrupted,0.3,0.49507661748013615,0.002628200705647151,0.48842688457015315,0.003245157828927174,0.49507661748013615,0.002628200705647151,0.28185300794551643,0.0025321464667387764,8.52743444442749,0.07003123898412073,0.15067500705449127,0.0021213141088602975,0.2818530109959414,0.002532146604450771,0.28185300794551643,0.0025321464667387764
hard_map,corrupted,0.4,0.4022133938706015,0.0031026215116718094,0.39714408357985986,0.0028112792853380733,0.4022133938706015,0.0031026215116718094,0.42099886492622013,0.0024573247768967634,12.220061206817627,0.06425915586069471,0.214823175700874,0.0036798922933342624,0.4209988673863495,0.002457324776527869,0.42099886492622013,0.0024573247768967634
poincare,corrupted,0.0,0.5797105561861521,0.0016785302634155313,0.5735991899067522,0.002133578512244657,0.5797105561861521,0.0016785302634155313,0.19516174801362082,0.0018136161075306548,1.5771617531776427,0.0025929260784812998,0.03369715642337296,0.0018343725154930336,0.2638644677429342,0.0018830798221593128,0.22121169125993187,0.0020533217481702344
poincare,corrupted,0.1,0.5791146424517594,0.0016427009720841722,0.5730431994695857,0.002236196343375053,0.5791146424517594,0.0016427009720841722,0.19633938706015888,0.0020018585015817427,1.5789563308272458,0.002462469468575766,0.03372958245843199,0.002076759995996569,0.265689495683145,0.001641649581536462,0.2223325766174801,0.0022203357159109676
poincare,corrupted,0.2,0.5787741203178206,0.0017426042325069243,0.5728725280567455,0.0022346963056814706,0.5787741203178206,0.0017426042325069243,0.197360953461975,0.002008774175330627,1.5808449499710429,0.0023519833592276864,0.033507796978702965,0.002395034895998804,0.26758307231388234,0.0013991677481730524,0.22400681044267876,0.001969188537137366
poincare,corrupted,0.3,0.578433598183882,0.0019872797626663465,0.5726328706244691,0.0023385138188757896,0.578433598183882,0.0019872797626663465,0.19835414301929621,0.0020209856809706127,1.5828368142672031,0.00227458174790254,0.033357644242259635,0.0024144792267131693,0.2695508928803435,0.00116834040010398,0.22561010215664018,0.002047867738993904
poincare,corrupted,0.4,0.5780221339387059,0.0020749944341844264,0.5722710843481345,0.0022416660542142986,0.5780221339387059,0.0020749944341844264,0.19944665153234956,0.0020842444033900933,1.584942320194453,0.0022473254087706095,0.03324306948187455,0.0026668942967028003,0.27159931758450845,0.000977855931083287,0.2270715096481271,0.0017660644029897194
tree,corrupted,0.0,0.5795970488081725,0.0016204920260132383,0.5733928903769707,0.002264876422921747,0.5795970488081725,0.0016204920260132383,0.19429625425652663,0.001583067379441966,1.5773490309539455,0.0028576670741191634,0.03420704026305718,0.0014438492100042409,0.26132573470462817,0.0008887046115498766,0.21956583427922816,0.0018909026486666498
tree,corrupted,0.1,0.5790153234960272,0.0015022316609042546,0.572843127850763,0.0023062841968925375,0.5790153234960272,0.0015022316609042546,0.1956725312145289,0.0017123700829401965,1.5794391975192041,0.0028161441026290594,0.03393275178696209,0.0021483960782809237,0.26344791198457146,0.0009106969018216648,0.2210698070374574,0.0017421549174497122
tree,corrupted,0.2,0.5785045402951192,0.001669511050074476,0.5724389411555919,0.0024312796903686092,0.5785045402951192,0.001669511050074476,0.19703461975028375,0.0020386721566375628,1.581650427824456,0.002775651175825397,0.03389196111187006,0.0020237984012978507,0.26566344754948423,0.0009345645839191589,0.22274404086265603,0.0017840213177071353
tree,corrupted,0.3,0.5779370034052214,0.0018022337260512238,0.5719765723931635,0.002563641385970657,0.5779370034052214,0.0018022337260512238,0.19839670828603856,0.002203193914586638,1.583996450199215,0.002736477923495671,0.03357754621312664,0.002629392318141185,0.26798137847269826,0.0009603403332709127,0.2246452894438138,0.001981926165693679
tree,corrupted,0.4,0.5773410896708286,0.00183957695895152,0.5714782386313053,0.0023131660637424867,0.5773410896708286,0.00183957695895152,0.19999999999999996,0.001978707054860811,1.5864930316276005,0.002698984758376302,0.03301228523347851,0.0032266288440268164,0.27041195401462403,0.0009880718865431855,0.22668842224744604,0.0018439491028699997
ultrametric,corrupted,0.0,0.5794267877412032,0.0015525358638172522,0.573302933870536,0.002205463027107811,0.5794267877412032,0.0015525358638172522,0.1953320090805902,0.0021559866684143563,1.576953135439084,0.002762450859394653,0.03369664309138899,0.0019369083076594417,0.2637878251678487,0.0009313340983677746,0.22099886492622017,0.0017622606845893434
ultrametric,corrupted,0.1,0.5788734392735527,0.0017188889510510409,0.5727658277267895,0.0024656596904231768,0.5788734392735527,0.0017188889510510409,0.19660896708286035,0.002255369115306621,1.578797222959874,0.0027276897404072066,0.0335302688149425,0.002617527640669298,0.26563174359992947,0.0009509940000845422,0.22227582292849032,0.0019248436593774189
ultrametric,corrupted,0.2,0.5785896708286039,0.0018875875578845023,0.5726309028653314,0.0025461556532919245,0.5785896708286039,0.0018875875578845023,0.19763053348467646,0.0021017710454235418,1.5807333646965556,0.0026938487782520327,0.03337431891924941,0.002594145198951838,0.26754533976872763,0.0009719959332042014,0.22375141884222471,0.0018547740778592247
ultrametric,corrupted,0.3,0.57827752553916,0.0021214735936940475,0.5724267917989274,0.0025967650975532693,0.57827752553916,0.0021214735936940475,0.1986804767309875,0.002148712037301581,1.5827703306856447,0.0026611369167134826,0.03330429356284908,0.0030481580616146635,0.2695343073266819,0.0009943655218771902,0.22552497162315546,0.002125897284871132
ultrametric,corrupted,0.4,0.5776816118047673,0.001909735632762938,0.5718797026923365,0.0022586441883692314,0.5776816118047673,0.001909735632762938,0.20002837684449487,0.0019278626595522139,1.5849179868177625,0.0026298043841005785,0.033401376299560734,0.002702278381070214,0.271604984781052,0.0010181363529381663,0.22683030646992056,0.0022613118662394285
vanilla,corrupted,0.0,0.579327468785471,0.0019755959227921146,0.5737408741870706,0.002093286386151741,0.579327468785471,0.0019755959227921146,0.20048240635641315,0.0027308361773083567,1.5790851593017579,0.002358816193892927,0.03345614215723793,0.003467140284865406,0.277535172252494,0.0011736421949776383,0.22996594778660612,0.0020775261314101077
vanilla,corrupted,0.1,0.579327468785471,0.0019755959227921146,0.5737408741870706,0.002093286386151741,0.579327468785471,0.0019755959227921146,0.20048240635641315,0.0027308361773083567,1.5790851593017579,0.002358816193892927,0.03345614215723793,0.003467140284865406,0.277535172252494,0.0011736421949776383,0.22996594778660612,0.0020775261314101077
vanilla,corrupted,0.2,0.579327468785471,0.0019755959227921146,0.5737408741870706,0.002093286386151741,0.579327468785471,0.0019755959227921146,0.20048240635641315,0.0027308361773083567,1.5790851593017579,0.002358816193892927,0.03345614215723793,0.003467140284865406,0.277535172252494,0.0011736421949776383,0.22996594778660612,0.0020775261314101077
vanilla,corrupted,0.3,0.579327468785471,0.0019755959227921146,0.5737408741870706,0.002093286386151741,0.579327468785471,0.0019755959227921146,0.20048240635641315,0.0027308361773083567,1.5790851593017579,0.002358816193892927,0.03345614215723793,0.003467140284865406,0.277535172252494,0.0011736421949776383,0.22996594778660612,0.0020775261314101077
vanilla,corrupted,0.4,0.579327468785471,0.0019755959227921146,0.5737408741870706,0.002093286386151741,0.579327468785471,0.0019755959227921146,0.20048240635641315,0.0027308361773083567,1.5790851593017579,0.002358816193892927,0.03345614215723793,0.003467140284865406,0.277535172252494,0.0011736421949776383,0.22996594778660612,0.0020775261314101077
